listing_id,name,property_type,city,bedrooms,price_per_night,average_rating
64,Managed bandwidth-monitored methodology,Studio,berlin,3,363,4.97
65,Multi-tiered encompassing database,Apartment,berlin,3,389,
66,Total bandwidth-monitored protocol,House,New York,1,104,4.48
67,Fully-configurable holistic installation,House,NEW YORK,3,359,3.42
68,Digitized next generation emulation,Condo,LONDON,3,308,3.98
69,Centralized disintermediate flexibility,Apartment,paris,4,474,3.55
70,Distributed client-driven infrastructure,Apartment,new york,2,376,4.96
71,Down-sized discrete software,House,Tokyo,5,411,3.86
72,Compatible intermediate flexibility,Apartment,Paris,1,403,4.81
73,Seamless object-oriented matrix,Apartment,New York,5,332,3.3
74,Centralized mobile strategy,House,Paris,3,236,4.8
75,Distributed bi-directional intranet,Apartment,NEW YORK,2,399,3.5
76,Cross-platform dynamic solution,Apartment,New York,5,497,3.81
77,Advanced hybrid encryption,House,London,2,459,4.62
78,Inverse heuristic hub,Studio,paris,2,427,4.85
79,Switchable didactic challenge,Studio,London,3,131,4.57
80,Synchronized 24/7 instruction set,Apartment,tokyo,1,489,3.94
81,Cross-platform contextually-based initiative,House,Tokyo,3,206,4.64
82,Triple-buffered attitude-oriented infrastructure,House,London,1,387,3.39
83,Operative impactful core,Condo,new york,1,445,3.56
84,Profound scalable archive,Studio,BERLIN,3,64,3.23
85,Right-sized well-modulated paradigm,Condo,LONDON,5,185,3.08
86,Function-based bottom-line Graphic Interface,Studio,new york,3,273,4.21
87,Stand-alone dedicated methodology,Apartment,tokyo,5,147,3.51
88,Grass-roots static hardware,Studio,PARIS,5,462,4.08
89,Open-source attitude-oriented complexity,House,new york,4,85,4.9
90,Cross-platform composite moderator,Condo,berlin,3,389,4.7
91,Monitored heuristic protocol,Condo,berlin,3,391,3.82
92,Self-enabling high-level challenge,Studio,new york,5,115,3.38
93,Focused client-server methodology,Studio,london,5,341,3.6
94,Fundamental multi-state budgetary management,Apartment,NEW YORK,3,157,3.86
95,Devolved empowering frame,Condo,tokyo,4,276,4.35
96,Down-sized hybrid project,Studio,LONDON,1,195,4.03
97,Customer-focused multi-tasking challenge,Condo,Paris,2,394,3.62
98,Implemented discrete leverage,House,LONDON,1,73,3.49
99,Right-sized logistical initiative,Studio,Berlin,1,283,3.83
100,Vision-oriented global service-desk,House,TOKYO,4,254,3.49
34,Persistent coherent utilization,Studio,LONDON,5,436,4.46
28,Face-to-face well-modulated open architecture,Apartment,new york,5,361,3.4
16,Versatile national adapter,House,NEW YORK,1,167,4.64
46,Cross-group leadingedge adapter,House,PARIS,4,463,
1,Virtual optimal project,Apartment,paris,3,175,3.45
